index,company,category,training/test,description
0,株式会社日立製作所,IT,training,情報・通信システム、社会・産業システム、電子装置・システム、建設機械、高機能材料、オートモティブシステム、生活・エコシステム等の製品の開発・生産・販売・サービスを手掛ける。情報・通信システムでは、システムインテグレーションなど、社会・産業システムにおいては産業用機器・プラントなど、電子装置・システムにおいては半導体製造装置など
1,日本電気株式会社,IT,training,政府や官公庁など、公共機関向けのネットワーク技術および、センサ技術やデータ分析技術など社会ソリューションの提供を行うパブリック事業を手掛けている。また、製造業や流通・コンビニ向け顔認証、QRコード読取にも対応した次世代型ATMなどサービス業や金融業向けのITソリューションの提供も行う。その他、通信事業者に対して、ネットワーク構築に必要な機器や運用管
2,株式会社リコー,IT,training,主として、複合機やファクシミリ、プロジェクターといったオフィス用品や産業用印刷機器の開発・販売を主に行っている。また、グループ通話サービス「BONX for BUSINESS」といったコミュニケーションサービスやITインフラの構築・運用管理などのビジネスサービスも手掛け
3,株式会社きんでん,IT,training,配電工事や一般電気工事、送電線工事および発変電所工事等の電気工事を行っている。ビルや工場の受変電設備や構内配電設備のシステム提案から設計に加えて、施工やメンテナンスまで手掛けている。また、電気通信工事や計装工事等の情報通信工事も行う。オフィスや病院の他、学校などのLAN設備、電話設備や映像伝送・表示設備、セキュリティなどの設計、施工、保守にも対応する。さら
4,株式会社エヌ・ティ・ティエムイー,IT,training,電話網や県間通信ネットワークを含めたIP網の構築や維持、運用ならびにサービス品質管理を行う。また、技術支援や人材育成および、通信機器や設備、システムの
5,東日本電信電話株式会社,IT,training,東日本を対象に、電話やインターネット回線などといった通信サービスの提供を行う。また、法人の顧客へ向けて、データネットワークサービス「ま
6,ＮＥＣネッツエスアイ株式会社,IT,training,日本電気株式会社を親会社に持ち、コミュニケーション分野を主要な事業領域として、ICTシステムに関する企画・コンサルティングをはじめとして設計や構築、運用、監視、アウトソーシングを実施している。また、働き方改革に関するソリューションを始め、IoTの活用、セキュリティ、ネットワーク、クラウドサービスに関するソリ
7,沖電気工業株式会社,IT,training,ビジネスホンやIPテレフォニーサーバー及びコンタクトセンター、ビデオ会議システム等の製造・販売および施工を行う。また、自動車の位置情報や道路情報を収集・分析し、業務効率化を行うITSサービス「LocoMobi2.0」や、防災情報システム「DPS
8,キヤノンＩＴソリューションズ株式会社,IT,training,金融・製造・流通・サービス・公共・文教などのITサービス等を広範囲に提供する、キャノンマーケティングジャパン株式会社の完全子会社でグループの中核システムインテグレーター(情報システム業務請け負い)企業。ITソリューションの事業領域では顧客の情報システムに対して分析・評価することで、ITシステムの拡張や利用の最適化などシステ
9,株式会社ＮＴＴ東日本－東北,IT,training,通信業界のリーディングカンパニーであるNTT東日本グループとして、担当地域の法人、個人顧客との窓口を担う。IP網などの通信
