index,company,category,training/test,description
0,株式会社日立製作所,IT,training,  情報 ・ 通信システム 、 社会 ・ 産業 システム 、 電子 装置 ・ システム 、 建設機械 、 高 機能 材料 、 オートモティブシステム 、 生活 ・ エコシステム 等 の 製品 の 開発 ・ 生産 ・ 販売 ・ サービス を 手掛ける 。 情報 ・ 通信システム で は 、 システムインテグレーション など 、 社会 ・ 産業 システム において は 産業 用 機器 ・ プラント など 、 電子 装置 ・ システム において は 半導体 製造 装置 など 
1,日本電気株式会社,IT,training,  政府 や 官公庁 など 、 公共機関 向け の ネットワーク 技術 および 、 センサ 技術 や データ 分析 技術 など 社会 ソリューション の 提供 を 行う パブリック 事業 を 手掛け て いる 。 また 、 製造業 や 流通 ・ コンビニ 向け 顔 認証 、 QRコード 読取 に も 対応 し た 次世代 型 ATM など サービス業 や 金融業 向け の IT ソリューション の 提供 も 行う 。 その他 、 通信事業 者 に対して 、 ネットワーク 構築 に 必要 な 機器 や 運用 管 
2,株式会社リコー,IT,training,  主として 、 複合機 や ファクシミリ 、 プロジェクター といった オフィス用品 や 産業 用 印刷 機器 の 開発 ・ 販売 を 主 に 行っ て いる 。 また 、 グループ 通話 サービス 「 BONX for BUSINESS 」 といった コミュニケーション サービス や IT インフラ の 構築 ・ 運用 管理 など の ビジネス サービス も 手掛け 
3,株式会社きんでん,IT,training,  配電 工事 や 一般 電気工事 、 送電 線 工事 および 発 変電所 工事 等 の 電気工事 を 行っ て いる 。 ビル や 工場 の 受 変電設備 や 構内 配電 設備 の システム 提案 から 設計 に 加え て 、 施工 や メンテナンス まで 手掛け て いる 。 また 、 電気通信 工事 や 計装 工事 等 の 情報通信 工事 も 行う 。 オフィス や 病院 の 他 、 学校 など の LAN 設備 、 電話 設備 や 映像 伝送 ・ 表示 設備 、 セキュリティ など の 設計 、 施工 、 保守 に も 対応 する 。 さら 
4,株式会社エヌ・ティ・ティエムイー,IT,training,  電話網 や 県 間 通信 ネットワーク を 含め た IP網 の 構築 や 維持 、 運用 ならび に サービス品質 管理 を 行う 。 また 、 技術 支援 や 人材育成 および 、 通信機器 や 設備 、 システム の 
5,東日本電信電話株式会社,IT,training,  東日本 を 対象 に 、 電話 や インターネット 回線 など といった 通信 サービス の 提供 を 行う 。 また 、 法人 の 顧客 へ 向け て 、 データ ネットワーク サービス 「 ま 
6,ＮＥＣネッツエスアイ株式会社,IT,training,  日本電気株式会社 を 親会社 に 持ち 、 コミュニケーション 分野 を 主要 な 事業 領域 として 、 ICT システム に関する 企画 ・ コンサルティング を はじめ として 設計 や 構築 、 運用 、 監視 、 アウトソーシング を 実施 し て いる 。 また 、 働き方改革 に関する ソリューション を 始め 、 IoT の 活用 、 セキュリティ 、 ネットワーク 、 クラウド サービス に関する ソリ 
7,沖電気工業株式会社,IT,training,  ビジネス ホン や IP テレフォニーサーバー 及び コンタクトセンター 、 ビデオ 会議 システム 等 の 製造 ・ 販売 および 施工 を 行う 。 また 、 自動車 の 位置情報 や 道路 情報 を 収集 ・ 分析 し 、 業務効率化 を 行う ITS サービス 「 LocoMobi 2.0 」 や 、 防災 情報システム 「 DPS 
8,キヤノンＩＴソリューションズ株式会社,IT,training,  金融 ・ 製造 ・ 流通 ・ サービス ・ 公共 ・ 文教 など の IT サービス 等 を 広範囲 に 提供 する 、 キャノンマーケティングジャパン 株式会社 の 完全子会社 で グループ の 中核 システムインテグレーター ( 情報システム 業務 請け負い ) 企業 。 IT ソリューション の 事業領域 で は 顧客 の 情報システム に対して 分析 ・ 評価 する こと で 、 IT システム の 拡張 や 利用 の 最適化 など シ ステ 
9,株式会社ＮＴＴ東日本－東北,IT,training,  通信 業界 の リーディング カンパニー で ある NTT東日本 グループ として 、 担当 地域 の 法人 、 個人 顧客 と の 窓口 を 担う 。 IP網 など の 通信 
